OBJECTID;Join_Count;TARGET_FID;CODIGO;NOMBRE;IDENTIFICA;SHAPE_Leng;fecha_hecho;año;mes;dia;hora;dia_semana;cantidad;latitud;longitud;sexo;edad;estado_civil;grupo_actor;actividad_delictiva;parentesco;ocupacion;discapacidad;grupo_especial;medio_transporte;nivel_academico;testigo;conducta;modalidad;caracterizacion;conducta_especial;arma_medio;articulo_penal;categoria_penal;nombre_barrio;codigo_barrio;codigo_comuna;lugar;sede_receptora;bien;categoria_bien;grupo_bien;modelo;color;permiso;unidad_medida;Shape_Length;Shape_Area
123;59;122;112;Carpinelo;112;2952.3248;19aug2015 17:00:00;2015;8;19;31dec1899 17:00:00;;1;6.286222;-75.53644;Hombre;20;Soltero;;;;Obrero;;;Caminata;Primaria;;Homicidio;Contundente;Convivencia;;;;;Carpinelo;112;1;Residencia;;;;;;;;;2952.3248;361946.64
180;59;179;104;Granizal;104;2885.9498;07aug2010 00:00:00;2010;8;7;31dec1899 00:00:00;;1;6.293886;-75.545257;Hombre;31;;;;;;;;Caminata;;;Homicidio;Arma de fuego;Grupos Delincuenciales Organizados;;;;;Granizal;104;1;Vi­a piºblica;;;;;;;;;2885.9498;244834.69
140;58;139;1205;La Floresta;1205;2734.2236;11/11/2005 21:59;2005;11;11;31dec1899 21:59:59;;1;6.254663;-75.598775;Hombre;25;;;;;;;;;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;La Floresta;1205;12;;;;;;;;;;2734.2236;422571.89
52;56;51;1611;La Loma de Los Bernal;1611;3986.6543;14/05/2012 6:27;2012;5;14;31dec1899 06:27:00;;1;6.215007;-75.601802;Hombre;21;Soltero;;;;Desempleado;;;Caminata;Bachillerato;;Homicidio;Arma de fuego;Grupos Delincuenciales Organizados;;;;;La Loma de Los Bernal;1611;16;Vi­a piºblica;;;;;;;;;3986.6543;485033.68
63;56;62;1312;Betania;1312;4352.1186;10/10/2017 21:16;2017;10;10;31dec1899 21:16:00;;1;6.2434497;-75.622932;Hombre;16;Soltero;;;;Desempleado;;;Caminata;Primaria;;Homicidio;Arma de fuego;Grupos Delincuenciales Organizados;;;;;Betania;1312;13;Zona boscosa;;;;;;;;;4352.1186;349073.87
86;56;85;404;Bermejal-Los Alamos;404;1944.0261;26/06/2006 3:00;2006;6;26;31dec1899 03:00:00;;1;6.278512;-75.564454;Hombre;42;;;;;;;;;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;Bermejal-Los ilamos;404;4;;;;;;;;;;1944.0261;159810.33
208;56;207;107;San Pablo;107;2396.8805;06/11/2004 12:00;2004;11;6;31dec1899 12:00:00;;1;6.288451;-75.545061;Hombre;21;;;;;;;;;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;San Pablo;107;1;;;;;;;;;;2396.8805;210321.43
28;55;27;501;Toscana;501;2574.0044;23dec2007 11:00:00;2007;12;23;31dec1899 11:00:00;;1;6.305525;-75.559489;Hombre;30;;;;;;;;;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;Toscana;501;5;;;;;;;;;;2574.0044;290053.95
143;55;142;725;Nueva Villa de La Iguaná;725;1838.7404;29/10/2018 1:38;2018;10;29;31dec1899 01:38:59;;1;6.2612824;-75.583183;Hombre;23;Soltero;;;;Comerciante;;;Caminata;Primaria;;Homicidio;Arma de fuego;Grupos Delincuenciales Organizados;;;;;Nueva Villa de La Iguani¡;725;7;Vehi­culo particular;;;;;;;;;1838.7404;65026.718
182;55;181;912;El Salvador;912;3334.6427;03/05/2006 9:59;2006;5;3;31dec1899 09:59:59;;1;6.241574;-75.563161;Hombre;43;;;;;;;;;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;El Salvador;912;9;;;;;;;;;;3334.6427;354795.46
139;54;138;1206;Santa Lucía;1206;3048.7037;24apr2012 21:31:00;2012;4;24;31dec1899 21:31:00;;1;6.257102;-75.605447;Hombre;35;Unión marital de hecho;;;;Cantante o compositor o miºsico;;;Caminata;;;Homicidio;Arma de fuego;Homicidios asociados a hurtos;;;;;Santa Luci­a;1206;12;Vi­a piºblica;;;;;;;;;3048.7037;275913.75
211;54;210;906;Barrio Caycedo;906;2471.7089;02dec2006 05:00:00;2006;12;2;31dec1899 05:00:00;;1;6.241159;-75.552689;Hombre;27;;;;;;;;;;;Homicidio;Arma de fuego;En proceso de categorización;;;;;Barrio Caicedo;906;9;;;;;;;;;;2471.7089;210183.18
